"channel","lambda","y","xhat","Jhat","score"
"Gaussian",0,-3.252,-0.933050560279586,-2.86610112055919,-0.933050560279586
"Gaussian",0,-3.248,-0.93294329019963,-2.86588658039928,-0.93294329019963
"Gaussian",0,-3.244,-0.93283569298683,-2.86567138597369,-0.93283569298683
"Gaussian",0,-3.24,-0.932727767210849,-2.86545553442172,-0.932727767210849
"Gaussian",0,-3.236,-0.932619511433376,-2.86523902286677,-0.932619511433376
"Gaussian",0,-3.232,-0.932510924208104,-2.86502184841623,-0.932510924208104
"Gaussian",0,-3.228,-0.932402004080604,-2.86480400816126,-0.932402004080604
"Gaussian",0,-3.224,-0.932292749588354,-2.86458549917674,-0.932292749588354
"Gaussian",0,-3.22,-0.932183159260625,-2.86436631852128,-0.932183159260625
"Gaussian",0,-3.216,-0.932073231618463,-2.86414646323697,-0.932073231618463
"Gaussian",0,-3.212,-0.931962965174634,-2.86392593034932,-0.931962965174634
"Gaussian",0,-3.208,-0.931852358433522,-2.86370471686708,-0.931852358433522
"Gaussian",0,-3.204,-0.931741409891151,-2.86348281978234,-0.931741409891151
"Gaussian",0,-3.2,-0.931630118035036,-2.86326023607008,-0.931630118035036
"Gaussian",0,-3.196,-0.931518481344206,-2.86303696268841,-0.931518481344206
"Gaussian",0,-3.192,-0.931406498289103,-2.86281299657821,-0.931406498289103
"Gaussian",0,-3.188,-0.931294167331548,-2.8625883346631,-0.931294167331548
"Gaussian",0,-3.184,-0.931181486924669,-2.86236297384933,-0.931181486924669
"Gaussian",0,-3.18,-0.931068455512833,-2.86213691102566,-0.931068455512833
"Gaussian",0,-3.176,-0.93095507153162,-2.86191014306325,-0.93095507153162
"Gaussian",0,-3.172,-0.930841333407727,-2.86168266681552,-0.930841333407727
"Gaussian",0,-3.168,-0.930727239558934,-2.86145447911794,-0.930727239558934
"Gaussian",0,-3.164,-0.930612788394033,-2.86122557678813,-0.930612788394033
"Gaussian",0,-3.16,-0.930497978312767,-2.8609959566256,-0.930497978312767
"Gaussian",0,-3.156,-0.930382807705775,-2.86076561541161,-0.930382807705775
"Gaussian",0,-3.152,-0.930267274954511,-2.86053454990911,-0.930267274954511
"Gaussian",0,-3.148,-0.930151378431219,-2.8603027568625,-0.930151378431219
"Gaussian",0,-3.144,-0.930035116498831,-2.86007023299773,-0.930035116498831
"Gaussian",0,-3.14,-0.929918487510939,-2.85983697502195,-0.929918487510939
"Gaussian",0,-3.136,-0.929801489811696,-2.85960297962346,-0.929801489811696
"Gaussian",0,-3.132,-0.929684121735765,-2.85936824347158,-0.929684121735765
"Gaussian",0,-3.128,-0.929566381608297,-2.85913276321662,-0.929566381608297
"Gaussian",0,-3.124,-0.929448267744777,-2.85889653548958,-0.929448267744777
"Gaussian",0,-3.12,-0.929329778451042,-2.85865955690212,-0.929329778451042
"Gaussian",0,-3.116,-0.929210912023184,-2.85842182404639,-0.929210912023184
"Gaussian",0,-3.112,-0.929091666747454,-2.85818333349491,-0.929091666747454
"Gaussian",0,-3.108,-0.928972040900253,-2.85794408180053,-0.928972040900253
"Gaussian",0,-3.104,-0.928852032748028,-2.85770406549604,-0.928852032748028
"Gaussian",0,-3.1,-0.928731640547196,-2.85746328109441,-0.928731640547196
"Gaussian",0,-3.096,-0.928610862544099,-2.8572217250882,-0.928610862544099
