"sigma","index","singular_value","normalized_singular_value"
0.2,151,1.7904156542802e-19,7.29727219621905e-20
0.2,152,1.3755772939271e-19,5.60649808703779e-20
0.2,153,1.17916669737048e-19,4.80597917855471e-20
0.2,154,9.27809662615471e-20,3.78151276671517e-20
0.2,155,8.80597712885258e-20,3.58908904249674e-20
0.2,156,7.99694575409256e-20,3.25934873092207e-20
0.2,157,5.93200184995022e-20,2.41773088076381e-20
0.2,158,4.61549800162659e-20,1.88115788411797e-20
0.2,159,3.89298602057263e-20,1.58668064481458e-20
0.2,160,2.94158099705599e-20,1.19891250790995e-20
0.2,161,2.67786172447323e-20,1.09142733759071e-20
0.2,162,2.0904632906687e-20,8.52018893587373e-21
0.2,163,1.93900982578145e-20,7.90290369504117e-21
0.2,164,1.69127236114495e-20,6.89318971698698e-21
0.2,165,1.19796678195588e-20,4.88260347202736e-21
0.2,166,8.30173417168912e-21,3.38357262497371e-21
0.2,167,6.90136019628177e-21,2.81281632876845e-21
0.2,168,4.49353021164049e-21,1.83144696025668e-21
0.2,169,3.65304891411039e-21,1.48888847171541e-21
0.2,170,2.89143396889651e-21,1.17847387325903e-21
0.2,171,1.83237612006114e-21,7.46829222698769e-22
0.2,172,1.53476365172683e-21,6.25530060393514e-22
0.2,173,1.19563678668768e-21,4.87310701256149e-22
0.2,174,9.97049884450988e-22,4.06371804371465e-22
0.2,175,7.52568018230522e-22,3.06727304470821e-22
0.2,176,6.56195343002002e-22,2.67448288911551e-22
0.2,177,3.46920950138727e-22,1.41396027100254e-22
0.2,178,3.38206293535771e-22,1.37844157947618e-22
0.2,179,2.57823515628268e-22,1.05082211922571e-22
0.2,180,1.90589985108365e-22,7.7679559820885e-23
0.2,181,1.57303145587165e-22,6.41127029875363e-23
0.2,182,1.06132123118712e-22,4.32567146801024e-23
0.2,183,6.17546554854211e-23,2.51696040181251e-23
0.2,184,4.7566958634448e-23,1.93870648903262e-23
0.2,185,3.33621139530565e-23,1.35975367493425e-23
0.2,186,1.57244595622639e-23,6.40888395328573e-24
0.2,187,1.35067644248817e-23,5.50500864215214e-24
0.2,188,9.74054197097762e-24,3.96999355602126e-24
0.2,189,8.18249854698005e-24,3.33497526117675e-24
0.2,190,4.57602635735452e-24,1.86507026046494e-24
0.2,191,4.36036628907206e-24,1.7771727816672e-24
0.2,192,2.46877641397082e-24,1.00620956040475e-24
0.2,193,2.31444415702643e-24,9.43307714965249e-25
0.2,194,1.22853378553124e-24,5.00718669088999e-25
0.2,195,1.00615364227782e-24,4.10082261142331e-25
0.2,196,6.2859609550425e-25,2.56199547820595e-25
0.2,197,5.53474501736023e-25,2.25581924687662e-25
0.2,198,2.91407250682448e-25,1.18770075713875e-25
0.2,199,2.44286653882151e-25,9.95649363889346e-26
0.2,200,1.58209624991046e-25,6.44821606011676e-26
0.2,201,1.19176452711819e-25,4.85732468177956e-26
0.2,202,6.1950423498397e-26,2.52493940084876e-26
0.2,203,4.70418837340841e-26,1.91730579103158e-26
0.2,204,3.42234646924483e-26,1.39486010838578e-26
0.2,205,1.82472649714679e-26,7.43711433794779e-27
0.2,206,9.66457377273305e-27,3.93903087875011e-27
0.2,207,4.37577509906786e-27,1.78345301500243e-27
0.2,208,2.31449317757259e-27,9.43327694474902e-28
0.2,209,9.44712698183179e-28,3.85040517791871e-28
0.2,210,3.88259029381238e-28,1.58244361484527e-28
0.2,211,2.14973199332522e-28,8.761752873816e-29
0.2,212,1.04475724299497e-28,4.25816092641947e-29
0.2,213,4.1751009485642e-29,1.70166340958485e-29
0.2,214,1.95068399248605e-29,7.95048458605037e-30
0.2,215,8.42228140596459e-30,3.4327045669843e-30
0.2,216,4.76275632710888e-30,1.9411765776339e-30
0.2,217,2.42508503810002e-30,9.88402083040802e-31
0.2,218,1.39917340563575e-30,5.70266974946644e-31
0.2,219,8.3385534526514e-31,3.398579213785e-31
0.2,220,7.18860324115616e-31,2.92988918165086e-31
0.2,221,1.93025092889043e-31,7.86720469151673e-32
0.2,222,6.36070241516188e-32,2.59245816867284e-32
0.2,223,2.24809790982327e-32,9.16266696647424e-33
0.2,224,8.43774947427751e-33,3.43900895248044e-33
0.2,225,5.23391449085612e-33,2.13320848710224e-33
0.2,226,1.63843092634803e-33,6.67782166430601e-34
0.2,227,5.83011031948157e-34,2.37620252222083e-34
0.2,228,2.12654714740919e-34,8.66725742463234e-35
0.2,229,9.40914712002535e-35,3.83492556630373e-35
0.2,230,4.58430596314077e-35,1.86844481413102e-35
0.2,231,1.29382546030863e-35,5.27329870898958e-36
0.2,232,6.41183688070057e-36,2.61329925731903e-36
0.2,233,2.03901749608192e-36,8.31050915254909e-37
0.2,234,6.45676761934798e-37,2.6316118669694e-37
0.2,235,2.42803169262951e-37,9.89603063389613e-38
0.2,236,9.40866166450301e-38,3.83472770715984e-38
0.2,237,4.02023073064358e-38,1.63854230513333e-38
0.2,238,1.67263743239319e-38,6.81723855607437e-39
0.2,239,1.29795898596752e-38,5.29014589293308e-39
0.2,240,2.71034916390001e-39,1.10466837957382e-39
0.4,1,2.77974426250267,1
0.4,2,1.28315661706866,0.461609592788007
0.4,3,0.41785570238777,0.150321634987948
0.4,4,0.108837275602735,0.0391537009612338
0.4,5,0.0243401634819151,0.00875625999493964
0.4,6,0.00485103134702788,0.00174513584305787
0.4,7,0.000880933494829196,0.000316911705408494
0.4,8,0.000147943955098353,5.32221460420089e-05
0.4,9,2.32241108777646e-05,8.35476528939946e-06
0.4,10,3.43542313318684e-06,1.2358774076914e-06
0.4,11,4.8191745916977e-07,1.73367552429405e-07
0.4,12,6.44366046745134e-08,2.31807672179525e-08
