"required_revenue","lambda","achieved_revenue","welfare","efficiency","build_probability","channel","epsilon"
0.779363888194627,14.9284383599771,0.779396758206349,92.1560257649845,0.921142865081999,0.918950000000001,"Laplace",2
0.801631427857331,15.2157974070583,0.801793737329641,91.8184182587702,0.917768319109926,0.915500000000001,"Laplace",2
0.823898967520034,15.4493078228067,0.824130364712777,91.4759546357304,0.914345233963897,0.912000000000001,"Laplace",2
0.846166507182738,15.730240631941,0.846427550073216,91.128753954144,0.91087479968746,0.908450000000002,"Laplace",2
0.868434046845442,16.0384863342437,0.868627946281863,90.7778998239505,0.907367847472134,0.904850000000002,"Laplace",2
0.890701586508145,16.230678412582,0.890780362226203,90.4214209610844,0.903804673405588,0.901200000000003,"Laplace",2
0.912969126170849,16.4831954962912,0.913237840930523,90.0540100615945,0.900132228486126,0.897450000000003,"Laplace",2
0.935236665833552,16.7396517163762,0.935368098784287,89.6842710488568,0.896436512978663,0.893700000000003,"Laplace",2
0.957504205496256,17.0571516584244,0.957708778238265,89.3091284312882,0.892686785896869,0.889850000000004,"Laplace",2
0.97977174515896,17.3932583513162,0.979954287702037,88.925509232649,0.888852331396453,0.885950000000004,"Laplace",2
1.00203928482166,17.612120540313,1.0020907826624,88.5389712780539,0.884988702556092,0.882000000000005,"Laplace",2
1.02430682448437,17.8608856444304,1.02451031207276,88.1422753044219,0.881023539533006,0.877950000000005,"Laplace",2
1.04657436414707,18.1633319361997,1.0465973359102,87.7440932407397,0.877043522340208,0.873900000000006,"Laplace",2
1.06884190380977,18.5038531629651,1.06910533162616,87.3299646668494,0.872904112270177,0.869700000000006,"Laplace",2
1.09110944347248,18.8320372586268,1.09120549782266,86.9183433433567,0.868789763348297,0.865500000000007,"Laplace",2
1.11337698313518,19.1975400940584,1.11342271391857,86.4955532160254,0.864563776973717,0.861200000000007,"Laplace",2
1.13564452279789,19.5439769092258,1.13573337432721,86.0633062188238,0.860243264732436,0.856800000000008,"Laplace",2
1.15791206246059,19.8718303093953,1.15793660355941,85.624274589145,0.855854936895304,0.852350000000008,"Laplace",2
1.18017960212329,20.2554126587026,1.18023630093821,85.1757128707167,0.851371351334303,0.847800000000009,"Laplace",2
1.202447141786,20.6178108438662,1.20261047818463,84.7177651150919,0.846793947912525,0.843150000000009,"Laplace",2
1.2247146814487,21.0369984442431,1.22482174506307,84.2557441234098,0.842175830578652,0.83845000000001,"Laplace",2
1.2469822211114,21.4791178043502,1.24706795014303,83.784194572486,0.837462470809061,0.83365000000001,"Laplace",2
1.26924976077411,21.9405135386427,1.26930187468661,83.301682867387,0.832639539147446,0.828750000000011,"Laplace",2
1.29151730043681,22.4097463796777,1.29173192205137,82.8030341192625,0.827655310143385,0.823700000000011,"Laplace",2
1.31378484009951,22.9631530432779,1.31390479994909,82.3004620220663,0.822631865418216,0.818600000000012,"Laplace",2
1.33605237976222,23.5165665193492,1.33619480665227,81.7840234801059,0.817469819049232,0.813350000000012,"Laplace",2
0,0,0.0623366601386273,100.045312468203,1,1,"Logistic",2
0.0222675396627036,0,0.0623366601386273,100.045312468203,1,1,"Logistic",2
0.0445350793254073,0,0.0623366601386273,100.045312468203,1,1,"Logistic",2
0.0668026189881109,8.56040308042676,0.0673195753697609,100.007275575087,0.999619803345328,0.9996,"Logistic",2
