"channel","n","lambda","probability","ci_lower","ci_upper","collapse_coordinate","channel_display","population_label"
"Gaussian",100,1.15,0.311,0.302001299370542,0.320143852013573,1.04047197679355,"Gaussian","n = 100"
"Gaussian",100,1.2,0.2635,0.254957742738989,0.272223888490341,1.38729596905807,"Gaussian","n = 100"
"Gaussian",100,1.25,0.2256,0.217514068903989,0.233896669401838,1.73411996132259,"Gaussian","n = 100"
"Gaussian",100,1.3,0.1909,0.183316395697765,0.198720992094987,2.0809439535871,"Gaussian","n = 100"
"Gaussian",100,1.35,0.1582,0.151178953837887,0.165483547448307,2.42776794585162,"Gaussian","n = 100"
"Gaussian",100,1.4,0.1336,0.127072263423023,0.140409130583009,2.77459193811614,"Gaussian","n = 100"
"Gaussian",100,1.45,0.1116,0.105577116804464,0.117921173129878,3.12141593038066,"Gaussian","n = 100"
"Gaussian",100,1.5,0.0958,0.0901857289832054,0.10172469529965,3.46823992264517,"Gaussian","n = 100"
"Gaussian",100,1.55,0.0795,0.0743579839949972,0.0849649586347418,3.81506391490969,"Gaussian","n = 100"
"Gaussian",100,1.6,0.0676,0.062843533501649,0.0726885482893121,4.16188790717421,"Gaussian","n = 100"
"Gaussian",100,1.65,0.0557,0.0513732261166891,0.0603679948354941,4.50871189943872,"Gaussian","n = 100"
"Gaussian",100,1.7,0.0472,0.043214611487336,0.0515331374371488,4.85553589170324,"Gaussian","n = 100"
"Gaussian",100,1.75,0.0391,0.0354745383495958,0.0430794313484939,5.20235988396776,"Gaussian","n = 100"
"Gaussian",100,1.8,0.0338,0.0304332481914122,0.0375247918894067,5.54918387623227,"Gaussian","n = 100"
"Gaussian",100,1.85,0.0295,0.0263600659501067,0.0330012765167,5.89600786849679,"Gaussian","n = 100"
"Gaussian",100,1.9,0.0249,0.0220235554628641,0.0281413197889528,6.24283186076131,"Gaussian","n = 100"
"Gaussian",100,1.95,0.0207,0.0180879636235755,0.0236801372145551,6.58965585302583,"Gaussian","n = 100"
"Gaussian",100,2,0.0184,0.0159449025597907,0.021224964670845,6.93647984529034,"Gaussian","n = 100"
"Gaussian",200,0,1,0.999616001629323,1,-9.80966387233723,"Gaussian","n = 200"
"Gaussian",200,0.05,1,0.999616001629323,1,-9.31918067872037,"Gaussian","n = 200"
"Gaussian",200,0.1,1,0.999616001629323,1,-8.82869748510351,"Gaussian","n = 200"
"Gaussian",200,0.15,1,0.999616001629323,1,-8.33821429148665,"Gaussian","n = 200"
"Gaussian",200,0.2,1,0.999616001629323,1,-7.84773109786978,"Gaussian","n = 200"
"Gaussian",200,0.25,1,0.999616001629323,1,-7.35724790425292,"Gaussian","n = 200"
"Gaussian",200,0.3,1,0.999616001629323,1,-6.86676471063606,"Gaussian","n = 200"
"Gaussian",200,0.35,1,0.999616001629323,1,-6.3762815170192,"Gaussian","n = 200"
"Gaussian",200,0.4,1,0.999616001629323,1,-5.88579832340234,"Gaussian","n = 200"
"Gaussian",200,0.45,0.9999,0.999433731102599,0.999982347326399,-5.39531512978548,"Gaussian","n = 200"
"Gaussian",200,0.5,0.9998,0.999271004155992,0.999945151072679,-4.90483193616862,"Gaussian","n = 200"
"Gaussian",200,0.55,0.9992,0.998422049746613,0.999594566280103,-4.41434874255175,"Gaussian","n = 200"
"Gaussian",200,0.6,0.9968,0.995486173072687,0.997732286146208,-3.92386554893489,"Gaussian","n = 200"
"Gaussian",200,0.65,0.9897,0.987524544269637,0.991499367726123,-3.43338235531803,"Gaussian","n = 200"
"Gaussian",200,0.7,0.9686,0.964997877655496,0.971842239071506,-2.94289916170117,"Gaussian","n = 200"
"Gaussian",200,0.75,0.9303,0.925142121889625,0.935127409112571,-2.45241596808431,"Gaussian","n = 200"
"Gaussian",200,0.8,0.872,0.865308811784237,0.878405493427979,-1.96193277446745,"Gaussian","n = 200"
"Gaussian",200,0.85,0.7933,0.785251451160694,0.801123295395067,-1.47144958085058,"Gaussian","n = 200"
"Gaussian",200,0.9,0.6992,0.690136397718815,0.708110617330308,-0.980966387233723,"Gaussian","n = 200"
"Gaussian",200,0.95,0.601,0.591365178988948,0.610557253340176,-0.490483193616861,"Gaussian","n = 200"
"Gaussian",200,1,0.5032,0.493401033607392,0.512996508803036,0,"Gaussian","n = 200"
"Gaussian",200,1.05,0.4114,0.401791077771038,0.421076966740246,0.490483193616862,"Gaussian","n = 200"
"Gaussian",200,1.1,0.3259,0.316781824966238,0.335151883266432,0.980966387233724,"Gaussian","n = 200"
"Gaussian",200,1.15,0.257,0.248529808819902,0.265656814388246,1.47144958085059,"Gaussian","n = 200"
"Gaussian",200,1.2,0.1977,0.190010875125315,0.205621290289596,1.96193277446745,"Gaussian","n = 200"
"Gaussian",200,1.25,0.1507,0.143822301031562,0.157845960230193,2.45241596808431,"Gaussian","n = 200"
"Gaussian",200,1.3,0.1114,0.105382027817494,0.117716415716196,2.94289916170117,"Gaussian","n = 200"
"Gaussian",200,1.35,0.0812,0.0760059459629093,0.0867156910723694,3.43338235531803,"Gaussian","n = 200"
"Gaussian",200,1.4,0.0612,0.056668408148963,0.0660685888211428,3.92386554893489,"Gaussian","n = 200"
"Gaussian",200,1.45,0.0464,0.0424485143793625,0.0506998489425152,4.41434874255176,"Gaussian","n = 200"
"Gaussian",200,1.5,0.0347,0.031287811116642,0.0384695377671097,4.90483193616862,"Gaussian","n = 200"
"Gaussian",200,1.55,0.0252,0.0223056121568231,0.0284590326959714,5.39531512978548,"Gaussian","n = 200"
"Gaussian",200,1.6,0.0177,0.0152946873600532,0.0204757174683014,5.88579832340234,"Gaussian","n = 200"
"Gaussian",200,1.65,0.0128,0.0107763679961683,0.0151978000162189,6.3762815170192,"Gaussian","n = 200"
"Gaussian",200,1.7,0.0093,0.00759806350135822,0.0113787924996238,6.86676471063606,"Gaussian","n = 200"
"Gaussian",200,1.75,0.0071,0.00563311602123976,0.00894542957257323,7.35724790425292,"Gaussian","n = 200"
"Gaussian",200,1.8,0.005,0.00379490107083823,0.0065852573161316,7.84773109786978,"Gaussian","n = 200"
"Gaussian",200,1.85,0.0034,0.00243418181630009,0.00474720536545591,8.33821429148665,"Gaussian","n = 200"
"Gaussian",200,1.9,0.0022,0.00145334957779264,0.00332895920005298,8.82869748510351,"Gaussian","n = 200"
"Gaussian",200,1.95,0.002,0.00129511171254329,0.0030873506646506,9.31918067872037,"Gaussian","n = 200"
"Gaussian",200,2,0.0018,0.00113892799151306,0.0028436879850291,9.80966387233723,"Gaussian","n = 200"
"Gaussian",500,0,1,0.999616001629323,1,-15.5104404586264,"Gaussian","n = 500"
"Gaussian",500,0.05,1,0.999616001629323,1,-14.7349184356951,"Gaussian","n = 500"
"Gaussian",500,0.1,1,0.999616001629323,1,-13.9593964127638,"Gaussian","n = 500"
"Gaussian",500,0.15,1,0.999616001629323,1,-13.1838743898325,"Gaussian","n = 500"
"Gaussian",500,0.2,1,0.999616001629323,1,-12.4083523669011,"Gaussian","n = 500"
"Gaussian",500,0.25,1,0.999616001629323,1,-11.6328303439698,"Gaussian","n = 500"
"Gaussian",500,0.3,1,0.999616001629323,1,-10.8573083210385,"Gaussian","n = 500"
"Gaussian",500,0.35,1,0.999616001629323,1,-10.0817862981072,"Gaussian","n = 500"
"Gaussian",500,0.4,1,0.999616001629323,1,-9.30626427517586,"Gaussian","n = 500"
"Gaussian",500,0.45,1,0.999616001629323,1,-8.53074225224454,"Gaussian","n = 500"
"Gaussian",500,0.5,1,0.999616001629323,1,-7.75522022931322,"Gaussian","n = 500"
"Gaussian",500,0.55,1,0.999616001629323,1,-6.97969820638189,"Gaussian","n = 500"
